features,weight
system.l2.UpgradeReq_hits::total,-1.2225e-01
system.cpu.commit.refs,-1.2755e-01
system.cpu.memDep0.insertedLoads,-1.2978e-01
system.cpu.iew.iewDispLoadInsts,-1.2978e-01
system.cpu.iq.fu_full::IntAlu,-1.3036e-01
system.l2.overall_miss_latency::total,-1.3094e-01
system.l2.demand_miss_latency::total,-1.3094e-01
system.l2.overall_mshr_miss_latency::total,-1.3501e-01
system.l2.demand_mshr_miss_latency::total,-1.3501e-01
system.cpu.icache.demand_miss_rate::total,-1.3911e-01
system.cpu.icache.ReadReq_miss_rate::total,-1.3911e-01
system.cpu.icache.overall_miss_rate::total,-1.3911e-01
system.l2.UpgradeReq_accesses::total,-1.3937e-01
system.tol2bus.trans_dist::UpgradeResp,-1.3937e-01
system.cpu.dcache.overall_miss_latency::total,-1.4097e-01
system.cpu.dcache.demand_miss_latency::total,-1.4097e-01
system.cpu.fetch.Branches,-1.4212e-01
system.cpu.branchPred.condPredicted,-1.4212e-01
system.cpu.branchPred.lookups,-1.4212e-01
system.cpu.dcache.demand_mshr_miss_latency::total,-1.4253e-01
system.cpu.dcache.overall_mshr_miss_latency::total,-1.4253e-01
system.tol2bus.snoop_fanout::total,-1.4384e-01
system.tol2bus.snoop_fanout::samples,-1.4384e-01
system.cpu.fetch.branchRate,-1.4748e-01
system.cpu.idleCycles,-1.4974e-01
system.cpu.dcache.tags.total_refs,-1.5495e-01
system.cpu.dcache.tags.data_accesses,-1.5554e-01
system.cpu.dcache.tags.tag_accesses,-1.5554e-01
system.l2.overall_avg_miss_latency::total,-1.6303e-01
system.l2.demand_avg_miss_latency::total,-1.6303e-01
system.l2.overall_avg_mshr_miss_latency::total,-1.6689e-01
system.l2.demand_avg_mshr_miss_latency::total,-1.6689e-01
system.mem_ctrls.totMemAccLat,-1.7250e-01
system.cpu.dcache.overall_hits::total,-1.7277e-01
system.cpu.dcache.demand_hits::total,-1.7277e-01
system.cpu.icache.demand_miss_latency::total,-1.7552e-01
system.cpu.icache.overall_miss_latency::total,-1.7552e-01
system.cpu.icache.ReadReq_miss_latency::total,-1.7552e-01
system.cpu.commit.int_insts,-1.7584e-01
system.cpu.dcache.demand_accesses::total,-1.7761e-01
system.cpu.dcache.overall_accesses::total,-1.7761e-01
system.cpu.cpi_total,-1.7766e-01
system.cpu.dtb.rdAccesses,-1.8252e-01
system.cpu.iew.iewExecLoadInsts,-1.8332e-01
system.l2.tags.tag_accesses,-1.8385e-01
system.l2.tags.data_accesses,-1.8385e-01
system.tol2bus.snoop_filter.tot_requests,-1.8954e-01
system.l2.tags.total_refs,-1.8956e-01
system.cpu.dcache.overall_misses::total,-1.8983e-01
system.cpu.dcache.demand_misses::total,-1.8983e-01
system.tol2bus.snoop_filter.hit_single_requests,-1.9181e-01
system.l2.demand_accesses::total,-1.9319e-01
system.l2.overall_accesses::total,-1.9319e-01
system.cpu.dcache.tags.sampled_refs,-1.9365e-01
system.cpu.dcache.demand_mshr_misses::total,-1.9365e-01
system.cpu.dcache.overall_mshr_misses::total,-1.9365e-01
system.cpu.icache.overall_avg_miss_latency::total,-1.9496e-01
system.cpu.icache.ReadReq_avg_miss_latency::total,-1.9496e-01
system.cpu.icache.demand_avg_miss_latency::total,-1.9496e-01
system.cpu.fetch.predictedBranches,-1.9826e-01
system.cpu.dcache.WriteReq_avg_mshr_miss_latency::total,-2.0401e-01
system.cpu.icache.demand_mshr_miss_rate::total,-2.0636e-01
system.cpu.icache.ReadReq_mshr_miss_rate::total,-2.0636e-01
system.cpu.icache.overall_mshr_miss_rate::total,-2.0636e-01
system.cpu.icache.demand_mshr_miss_latency::total,-2.1695e-01
system.cpu.icache.ReadReq_mshr_miss_latency::total,-2.1695e-01
system.cpu.icache.overall_mshr_miss_latency::total,-2.1695e-01
system.cpu.branchPred.indirectLookups,-2.1850e-01
system.cpu.branchPred.BTBLookups,-2.1850e-01
system.cpu.iew.exec_branches,-2.2746e-01
system.cpu.iew.predictedTakenIncorrect,-2.2938e-01
system.mem_ctrls.bytesPerActivate::stdev,-2.3198e-01
system.cpu.commit.loads,-2.4355e-01
system.mem_ctrls.totQLat,-2.4365e-01
system.mem_ctrls.bytes_inst_read::total,-2.4533e-01
system.l2.ReadCleanReq_mshr_misses::total,-2.4644e-01
system.l2.ReadCleanReq_misses::total,-2.4656e-01
system.mem_ctrls_0.totalIdleTime,-2.4697e-01
system.cpu.cc_regfile_writes,-2.4777e-01
system.membus.pkt_size_system.l2.mem_side::system.mem_ctrls.port,-2.5760e-01
system.membus.pkt_size::total,-2.5760e-01
system.membus.pkt_size_system.l2.mem_side::total,-2.5760e-01
system.cpu.commit.branches,-2.5770e-01
system.cpu.cc_regfile_reads,-2.6198e-01
system.mem_ctrls.avgWrQLen,-2.6426e-01
system.membus.reqLayer2.utilization,-2.7643e-01
system.mem_ctrls.bytesPerActivate::samples,-2.7668e-01
system.mem_ctrls.bytesPerActivate::total,-2.7668e-01
system.l2.ReadCleanReq_miss_latency::total,-2.8273e-01
system.mem_ctrls.avgGap,-2.8471e-01
system.membus.reqLayer2.occupancy,-2.8623e-01
system.l2.ReadCleanReq_mshr_miss_latency::total,-2.8731e-01
system.mem_ctrls_0.averagePower,-3.2946e-01
system.cpu.commit.op_class_0::MemWrite,-3.3440e-01
system.cpu.dcache.ReadReq_accesses::total,-3.3508e-01
system.cpu.branchPred.indirectHits,-3.3865e-01
system.mem_ctrls.writeRowHitRate,-3.4354e-01
system.cpu.dtb.wrMisses,-3.4698e-01
system.tol2bus.reqLayer0.occupancy,-3.5292e-01
system.tol2bus.pkt_size::total,-3.5506e-01
system.cpu.icache.avg_blocked_cycles::no_mshrs,-3.5722e-01
system.mem_ctrls_0.memoryStateTime::ACT_PDN,-3.7210e-01
system.mem_ctrls_0.actPowerDownEnergy,-3.7212e-01
system.cpu.dcache.ReadReq_hits::total,-3.8140e-01
system.mem_ctrls.rdPerTurnAround::stdev,-3.9197e-01
system.cpu.commit.op_class_0::No_OpClass,-3.9513e-01
system.cpu.dcache.tags.occ_percent::total,-4.0904e-01
system.cpu.dcache.tags.tagsinuse,-4.0904e-01
system.mem_ctrls_0.readEnergy,-4.1067e-01
system.mem_ctrls_0.preEnergy,-4.1433e-01
system.mem_ctrls_0.actEnergy,-4.1479e-01
system.mem_ctrls.writeRowHits,-4.1589e-01
system.mem_ctrls.writeBursts,-4.1659e-01
system.mem_ctrls.bytesWrittenSys,-4.1659e-01
system.mem_ctrls.writeReqs,-4.1659e-01
system.mem_ctrls.bytes_written::total,-4.1659e-01
system.mem_ctrls.num_writes::total,-4.1659e-01
system.mem_ctrls.wrPerTurnAround::samples,-4.1727e-01
system.mem_ctrls.rdPerTurnAround::total,-4.1728e-01
system.mem_ctrls.rdPerTurnAround::samples,-4.1728e-01
system.mem_ctrls.bytesWritten,-4.1757e-01
system.tol2bus.snoopTraffic,-4.1760e-01
system.membus.trans_dist::WritebackDirty,-4.1760e-01
system.l2.writebacks::total,-4.1760e-01
system.mem_ctrls_0.writeEnergy,-4.1762e-01
system.tol2bus.snoops,-4.2011e-01
system.l2.replacements,-4.2012e-01
system.mem_ctrls_0.refreshEnergy,-4.2265e-01
system.mem_ctrls_0.memoryStateTime::REF,-4.2266e-01
