features,weight
system.cpu.icache.avg_blocked_cycles::no_targets,-4.4723e-01
system.cpu.icache.blocked_cycles::no_targets,-4.4723e-01
system.l2.ReadCleanReq_misses::total,-4.4838e-01
system.l2.ReadCleanReq_mshr_misses::total,-4.4850e-01
system.cpu.icache.demand_mshr_miss_latency::total,-4.5387e-01
system.cpu.icache.overall_mshr_miss_latency::total,-4.5387e-01
system.cpu.icache.ReadReq_mshr_miss_latency::total,-4.5387e-01
system.mem_ctrls.rdPerTurnAround::gmean,-4.9734e-01
system.cpu.iew.exec_refs,-5.0544e-01
system.cpu.dcache.ReadReq_avg_miss_latency::total,-5.1034e-01
system.l2.ReadCleanReq_miss_latency::total,-5.1287e-01
system.l2.overall_miss_latency::total,-5.1596e-01
system.l2.demand_miss_latency::total,-5.1596e-01
system.l2.ReadCleanReq_mshr_miss_latency::total,-5.2182e-01
system.cpu.dcache.demand_mshr_miss_latency::total,-5.2623e-01
system.cpu.dcache.overall_mshr_miss_latency::total,-5.2623e-01
system.cpu.dcache.demand_miss_latency::total,-5.2641e-01
system.cpu.dcache.overall_miss_latency::total,-5.2641e-01
system.mem_ctrls.bytesPerActivate::stdev,-5.2918e-01
system.l2.overall_mshr_miss_latency::total,-5.4272e-01
system.l2.demand_mshr_miss_latency::total,-5.4272e-01
system.cpu.icache.avg_blocked_cycles::no_mshrs,-5.4476e-01
system.l2.tags.avg_refs,-5.8867e-01
system.cpu.dcache.demand_mshr_hits::total,-5.9257e-01
system.cpu.dcache.overall_mshr_hits::total,-5.9257e-01
system.cpu.dcache.ReadReq_mshr_hits::total,-5.9453e-01
system.cpu.dcache.tags.tag_accesses,-5.9700e-01
system.cpu.dcache.tags.data_accesses,-5.9700e-01
system.cpu.dcache.tags.total_refs,-5.9921e-01
system.cpu.commit.refs,-6.0372e-01
system.mem_ctrls.avgWrQLen,-6.0817e-01
system.mem_ctrls_0.averagePower,-6.2693e-01
system.cpu.dcache.WriteReq_avg_miss_latency::total,-6.3244e-01
system.mem_ctrls.readRowHits,-6.3666e-01
system.mem_ctrls.bytesReadDRAM,-6.3819e-01
system.mem_ctrls.totBusLat,-6.3819e-01
system.membus.pkt_size_system.l2.mem_side::total,-6.4812e-01
system.membus.pkt_size::total,-6.4812e-01
system.membus.pkt_size_system.l2.mem_side::system.mem_ctrls.port,-6.4812e-01
system.cpu.dcache.demand_accesses::total,-6.5080e-01
system.cpu.dcache.overall_accesses::total,-6.5080e-01
system.cpu.dcache.demand_hits::total,-6.5560e-01
system.cpu.dcache.overall_hits::total,-6.5560e-01
system.mem_ctrls_0.totalIdleTime,-6.6507e-01
system.cpu.iew.iewDispStoreInsts,-6.6663e-01
system.cpu.memDep0.insertedStores,-6.6663e-01
system.tol2bus.trans_dist::CleanEvict,-6.7359e-01
system.membus.reqLayer2.occupancy,-6.8680e-01
system.mem_ctrls.rdPerTurnAround::mean,-6.8887e-01
system.mem_ctrls.totMemAccLat,-7.1258e-01
system.cpu.iq.fu_full::IntAlu,-7.1969e-01
system.mem_ctrls_0.memoryStateTime::ACT_PDN,-7.2168e-01
system.mem_ctrls_0.actPowerDownEnergy,-7.2171e-01
system.mem_ctrls.writeRowHitRate,-7.4876e-01
system.tol2bus.reqLayer0.occupancy,-7.5080e-01
system.tol2bus.pkt_size::total,-7.5454e-01
system.mem_ctrls.bw_total::total,-7.6342e-01
system.membus.respLayer1.utilization,-7.7301e-01
system.cpu.dtb.wrAccesses,-7.7846e-01
system.cpu.iew.exec_stores,-7.7849e-01
system.l2.tags.occ_percent::total,-7.8476e-01
system.l2.tags.tagsinuse,-7.8476e-01
system.mem_ctrls.totQLat,-7.9166e-01
system.mem_ctrls.bw_read::total,-7.9346e-01
system.mem_ctrls.avgRdBWSys,-7.9484e-01
system.mem_ctrls.bytesPerActivate::samples,-8.0089e-01
system.mem_ctrls.bytesPerActivate::total,-8.0089e-01
