features,weight
system.l2.demand_accesses::total,2.8823e-01
system.tol2bus.snoop_filter.hit_single_requests,2.8586e-01
system.cpu.iq.int_inst_queue_writes,2.8340e-01
system.mem_ctrls_0.averagePower,2.8285e-01
system.mem_ctrls_0.memoryStateTime::SREF,2.7920e-01
system.cpu.dcache.demand_mshr_misses::total,2.7550e-01
system.cpu.dcache.overall_mshr_misses::total,2.7550e-01
system.cpu.dcache.tags.sampled_refs,2.7550e-01
system.l2.ReadCleanReq_hits::total,2.7260e-01
system.cpu.rename.SquashCycles,2.7047e-01
system.cpu.iew.iewSquashCycles,2.7047e-01
system.cpu.fetch.SquashCycles,2.7047e-01
system.cpu.decode.SquashCycles,2.7047e-01
system.cpu.dcache.demand_misses::total,2.6779e-01
system.cpu.dcache.overall_misses::total,2.6779e-01
system.cpu.dcache.WriteReq_accesses::total,2.6693e-01
system.cpu.rename.tempSerializingInsts,2.6460e-01
system.cpu.rename.LQFullEvents,2.5641e-01
system.cpu.dcache.tags.occ_percent::total,2.5534e-01
system.cpu.dcache.tags.tagsinuse,2.5534e-01
system.cpu.icache.ReadReq_mshr_miss_rate::total,2.5224e-01
system.cpu.icache.overall_mshr_miss_rate::total,2.5224e-01
system.cpu.icache.demand_mshr_miss_rate::total,2.5224e-01
system.membus.respLayer1.occupancy,2.4175e-01
system.cpu.workload.numSyscalls,2.4123e-01
system.cpu.iew.iewDispNonSpecInsts,2.4106e-01
system.mem_ctrls_0.memoryStateTime::PRE_PDN,2.3870e-01
system.mem_ctrls_0.prePowerDownEnergy,2.3866e-01
system.l2.tags.sampled_refs,2.3389e-01
system.tol2bus.snoop_fanout::total,2.3046e-01
system.tol2bus.snoop_fanout::samples,2.3046e-01
system.l2.demand_mshr_misses::total,2.3015e-01
system.l2.overall_mshr_misses::total,2.3015e-01
system.l2.overall_misses::total,2.3015e-01
system.l2.demand_misses::total,2.3015e-01
system.mem_ctrls.num_reads::total,2.3013e-01
system.mem_ctrls.bytes_read::total,2.3013e-01
system.mem_ctrls.bytesReadSys,2.3013e-01
system.mem_ctrls.readBursts,2.3013e-01
system.mem_ctrls.readReqs,2.3013e-01
system.cpu.icache.ReadReq_mshr_hits::total,2.2822e-01
system.cpu.icache.overall_mshr_hits::total,2.2822e-01
system.cpu.icache.demand_mshr_hits::total,2.2822e-01
system.cpu.misc_regfile_reads,2.2437e-01
system.cpu.icache.demand_miss_rate::total,2.1666e-01
system.cpu.icache.ReadReq_miss_rate::total,2.1666e-01
system.cpu.icache.overall_miss_rate::total,2.1666e-01
system.mem_ctrls.bytesPerActivate::mean,2.1577e-01
system.membus.snoop_filter.hit_single_requests,2.1443e-01
system.cpu.dcache.overall_miss_rate::total,2.1400e-01
system.cpu.dcache.demand_miss_rate::total,2.1400e-01
system.mem_ctrls_0.actPowerDownEnergy,2.1026e-01
system.mem_ctrls_0.memoryStateTime::ACT_PDN,2.1025e-01
system.mem_ctrls.wrPerTurnAround::mean,2.0529e-01
system.mem_ctrls.wrPerTurnAround::gmean,2.0449e-01
system.cpu.iew.predictedTakenIncorrect,2.0293e-01
system.membus.snoop_filter.tot_requests,1.9915e-01
system.mem_ctrls_0.preBackEnergy,1.9829e-01
system.membus.pkt_count_system.l2.mem_side::total,1.9817e-01
system.membus.pkt_count_system.l2.mem_side::system.mem_ctrls.port,1.9817e-01
system.membus.pkt_count::total,1.9817e-01
system.cpu.cc_regfile_reads,1.9395e-01
system.cpu.dcache.demand_avg_miss_latency::total,1.9291e-01
system.cpu.dcache.overall_avg_miss_latency::total,1.9291e-01
system.l2.tags.total_refs,1.8699e-01
system.cpu.commit.committed_per_cycle::mean,1.8699e-01
system.cpu.fetch.rateDist::samples,1.8695e-01
system.cpu.fetch.rateDist::total,1.8695e-01
system.cpu.iq.issued_per_cycle::total,1.8695e-01
system.cpu.iq.issued_per_cycle::samples,1.8695e-01
system.cpu.numCycles,1.8684e-01
system.cpu.itb.walker.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.dcache.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.interrupts.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.l2.tags.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.dtb_walker_cache.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.dtb_walker_cache.tags.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.dtb.walker.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.membus.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.l2.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.icache.tags.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.itb_walker_cache.tags.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.icache.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.dcache.tags.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.itb_walker_cache.pwrStateResidencyTicks::UNDEFINED,1.8684e-01
system.cpu.pwrStateResidencyTicks::ON,1.8684e-01
system.cpu.dcache.ReadReq_avg_miss_latency::total,1.8429e-01
system.tol2bus.snoop_filter.tot_requests,1.8113e-01
system.membus.snoop_fanout::total,1.7962e-01
system.membus.snoop_fanout::samples,1.7962e-01
system.mem_ctrls.pageHitRate,1.7622e-01
